CATEGORIE;INDICATEUR;VALEUR;UNITE
Config;Seed;42;
Config;UtiliserSeedFixe;1;bool
Global;DureeTotaleSecondes;132.90;s
Global;DureeTotaleFormatee;02m:12s;mm:ss
Global;ClientsTraites;30;clients
Global;ClientsCibles;30;clients
Global;TauxCompletion;100.0;%
Global;VolumeVentes;260;articles
Parcours;TauxRepassageGlobal;243.3;%
Parcours;TotalRepassages;73;retours
Parcours;IndiceDetour;1.405;ratio
Parcours;DistanceTotaleParcourue;3706.74;m
Parcours;DistanceTotaleOptimale;2637.49;m
Parcours;ZoneConfusePire;arme;zone
Parcours;ZoneConfusePireRetours;29;retours
Parcours;ArticlesParMetre;0.0701;articles/m
Achat;TotalAchatsImpulsifs;32;articles
Achat;TauxImpulsif;12.3;%
Conversion;alcool_Visites;39;visites
Conversion;alcool_Achats;36;achats
Conversion;alcool_Taux;92.3;%
Conversion;arme_Visites;75;visites
Conversion;arme_Achats;72;achats
Conversion;arme_Taux;96.0;%
Conversion;chips_Visites;28;visites
Conversion;chips_Achats;26;achats
Conversion;chips_Taux;92.9;%
Conversion;lait_Visites;27;visites
Conversion;lait_Achats;22;achats
Conversion;lait_Taux;81.5;%
Conversion;pain_Visites;29;visites
Conversion;pain_Achats;21;achats
Conversion;pain_Taux;72.4;%
Conversion;soft_Visites;40;visites
Conversion;soft_Achats;32;achats
Conversion;soft_Taux;80.0;%
Conversion;viande_Visites;53;visites
Conversion;viande_Achats;51;achats
Conversion;viande_Taux;96.2;%
Records;VisitePlusLongueSecondes;103.86;s
Records;VisitePlusLongueFormatee;01m:43s;mm:ss
Records;DernierClientInfo;Profil [Organisé] | Durée: 01m:28s;texte
Records;DernierClientRaison;Gros acheteur (15 articles);texte
Layout;DensiteAchat;0.0701;articles/m
Layout;IndiceFrustrationAttente;11.8;%
Layout;DistanceMoyenne;123.56;m
Performance;PanierMoyen;8.67;articles/client
Performance;DebitClients;13.54;clients/min
Caisses;AttenteMoyenneSecondes;5.17;s
Caisses;AttenteMoyenneFormatee;00m:05s;mm:ss
Caisses;Saturations;13;fois
VentesParZone;alcool;36;ventes
VentesParZone;arme;72;ventes
VentesParZone;chips;26;ventes
VentesParZone;lait;22;ventes
VentesParZone;pain;21;ventes
VentesParZone;soft;32;ventes
VentesParZone;viande;51;ventes
Top3;#1_Zone;arme;zone
Top3;#1_Ventes;72;ventes
Top3;#2_Zone;viande;zone
Top3;#2_Ventes;51;ventes
Top3;#3_Zone;alcool;zone
Top3;#3_Ventes;36;ventes
Flop3;#1_Zone;pain;zone
Flop3;#1_Ventes;21;ventes
Flop3;#2_Zone;lait;zone
Flop3;#2_Ventes;22;ventes
Flop3;#3_Zone;chips;zone
Flop3;#3_Ventes;26;ventes
Profils;Organises_Nb;11;clients
Profils;Impulsifs_Nb;11;clients
Profils;Presses_Nb;9;clients
Profils;Organises_Pct;36.7;%
Profils;Impulsifs_Pct;36.7;%
Profils;Presses_Pct;30.0;%
Profils;Organises_DistanceMoy;102.29;m
Profils;Impulsifs_DistanceMoy;133.54;m
Profils;Presses_DistanceMoy;136.93;m
Temps;TempsTotalShopping;1316.58;s
Temps;TempsTotalAttenteCaisse;155.23;s
Temps;TempsMoyenShoppingParClient;43.89;s
