CATEGORIE,INDICATEUR,Scene_1,Scene_2,Scene_3,Scene_4
Global,DureeTotaleSecondes,122.5,128.64,141.99,132.9
Global,VolumeVentes,299.0,287.0,301.0,260.0
Performance,DebitClients,14.69,13.99,12.68,13.54
Performance,PanierMoyen,9.97,9.57,10.03,8.67
Parcours,IndiceDetour,1.398,1.171,1.225,1.405
Parcours,TotalRepassages,71.0,63.0,70.0,73.0
Parcours,TauxRepassageGlobal,236.7,210.0,233.3,243.3
Parcours,DistanceTotaleParcourue,3679.88,3445.84,3260.52,3706.74
Parcours,DistanceTotaleOptimale,2632.15,2942.1,2661.16,2637.49
Layout,IndiceFrustrationAttente,11.3,16.3,9.1,11.8
Caisses,AttenteMoyenneSecondes,5.25,7.65,3.68,5.17
Caisses,Saturations,15.0,24.0,0.0,13.0
Achat,TauxImpulsif,12.0,11.1,17.9,12.3
Layout,DensiteAchat,0.0813,0.0833,0.0923,0.0701
Temps,TempsMoyenShoppingParClient,46.62,46.98,40.52,43.89
Parcours,ZoneConfusePire,arme,arme,arme,arme
Parcours,ZoneConfusePireRetours,26.0,30.0,29.0,29.0
Derived,EcartDistance,1047.73,503.74000000000024,599.3600000000001,1069.25
Derived,RepassagesParClient,2.3666666666666667,2.1,2.3333333333333335,2.433333333333333
Derived,VitesseMoyenne,30.03983673469388,26.786691542288562,22.963025565180644,27.891196388261847
