CATEGORIE,INDICATEUR,Scene_1,Scene_2,Scene_3,Scene_4
Achat,TauxImpulsif,12.0,11.1,17.9,12.3
Achat,TotalAchatsImpulsifs,36.0,32.0,54.0,32.0
Caisses,AttenteMoyenneFormatee,5,7,3,5
Caisses,AttenteMoyenneSecondes,5.25,7.65,3.68,5.17
Caisses,Saturations,15.0,24.0,0.0,13.0
Config,Seed,42.0,42.0,42.0,42.0
Config,UtiliserSeedFixe,1.0,1.0,1.0,1.0
Conversion,alcool_Achats,26.0,33.0,33.0,36.0
Conversion,alcool_Taux,81.3,91.7,97.1,92.3
Conversion,alcool_Visites,32.0,36.0,34.0,39.0
Conversion,arme_Achats,106.0,104.0,105.0,72.0
Conversion,arme_Taux,98.1,99.0,99.1,96.0
Conversion,arme_Visites,108.0,105.0,106.0,75.0
Conversion,chips_Achats,24.0,23.0,36.0,26.0
Conversion,chips_Taux,75.0,82.1,87.8,92.9
Conversion,chips_Visites,32.0,28.0,41.0,28.0
Conversion,lait_Achats,44.0,36.0,28.0,22.0
Conversion,lait_Taux,91.7,97.3,90.3,81.5
Conversion,lait_Visites,48.0,37.0,31.0,27.0
Conversion,pain_Achats,14.0,18.0,24.0,21.0
Conversion,pain_Taux,73.7,90.0,80.0,72.4
Conversion,pain_Visites,19.0,20.0,30.0,29.0
Conversion,soft_Achats,26.0,28.0,22.0,32.0
Conversion,soft_Taux,78.8,80.0,88.0,80.0
Conversion,soft_Visites,33.0,35.0,25.0,40.0
Conversion,viande_Achats,59.0,45.0,53.0,51.0
Conversion,viande_Taux,89.4,91.8,96.4,96.2
Conversion,viande_Visites,66.0,49.0,55.0,53.0
Flop3,#1_Ventes,14.0,18.0,22.0,21.0
Flop3,#1_Zone,pain,pain,soft,pain
Flop3,#2_Ventes,24.0,23.0,24.0,22.0
Flop3,#2_Zone,chips,chips,pain,lait
Flop3,#3_Ventes,26.0,28.0,28.0,26.0
Flop3,#3_Zone,alcool,soft,lait,chips
Global,ClientsCibles,30.0,30.0,30.0,30.0
Global,ClientsTraites,30.0,30.0,30.0,30.0
Global,DureeTotaleFormatee,122,128,141,132
Global,DureeTotaleSecondes,122.5,128.64,141.99,132.9
Global,TauxCompletion,100.0,100.0,100.0,100.0
Global,VolumeVentes,299.0,287.0,301.0,260.0
Layout,DensiteAchat,0.0813,0.0833,0.0923,0.0701
Layout,DistanceMoyenne,122.66,114.86,108.68,123.56
Layout,IndiceFrustrationAttente,11.3,16.3,9.1,11.8
Parcours,ArticlesParMetre,0.0813,0.0833,0.0923,0.0701
Parcours,DistanceTotaleOptimale,2632.15,2942.1,2661.16,2637.49
Parcours,DistanceTotaleParcourue,3679.88,3445.84,3260.52,3706.74
Parcours,IndiceDetour,1.398,1.171,1.225,1.405
Parcours,TauxRepassageGlobal,236.7,210.0,233.3,243.3
Parcours,TotalRepassages,71.0,63.0,70.0,73.0
Parcours,ZoneConfusePire,arme,arme,arme,arme
Parcours,ZoneConfusePireRetours,26.0,30.0,29.0,29.0
Performance,DebitClients,14.69,13.99,12.68,13.54
Performance,PanierMoyen,9.97,9.57,10.03,8.67
Profils,Impulsifs_DistanceMoy,182.82,116.05,140.35,133.54
Profils,Impulsifs_Nb,5.0,9.0,13.0,11.0
Profils,Impulsifs_Pct,16.7,30.0,43.3,36.7
Profils,Organises_DistanceMoy,97.31,100.62,88.63,102.29
Profils,Organises_Nb,11.0,15.0,13.0,11.0
Profils,Organises_Pct,36.7,50.0,43.3,36.7
Profils,Presses_DistanceMoy,168.34,100.6,110.05,136.93
Profils,Presses_Nb,6.0,6.0,10.0,9.0
Profils,Presses_Pct,20.0,20.0,33.3,30.0
Records,DernierClientInfo,72,77,107,88
Records,DernierClientRaison,Gros acheteur (29 articles),Gros acheteur (15 articles),Gros acheteur (18 articles),Gros acheteur (15 articles)
Records,VisitePlusLongueFormatee,107,91,107,103
Records,VisitePlusLongueSecondes,107.92,91.28,107.19,103.86
Temps,TempsMoyenShoppingParClient,46.62,46.98,40.52,43.89
Temps,TempsTotalAttenteCaisse,157.65,229.61,110.47,155.23
Temps,TempsTotalShopping,1398.45,1409.51,1215.51,1316.58
Top3,#1_Ventes,106.0,104.0,105.0,72.0
Top3,#1_Zone,arme,arme,arme,arme
Top3,#2_Ventes,59.0,45.0,53.0,51.0
Top3,#2_Zone,viande,viande,viande,viande
Top3,#3_Ventes,44.0,36.0,36.0,36.0
Top3,#3_Zone,lait,lait,chips,alcool
VentesParZone,alcool,26.0,33.0,33.0,36.0
VentesParZone,arme,106.0,104.0,105.0,72.0
VentesParZone,chips,24.0,23.0,36.0,26.0
VentesParZone,lait,44.0,36.0,28.0,22.0
VentesParZone,pain,14.0,18.0,24.0,21.0
VentesParZone,soft,26.0,28.0,22.0,32.0
VentesParZone,viande,59.0,45.0,53.0,51.0
